Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
0,7,5,1,1,0,0.28421052631578947,0,12,9,5,9,0.33999999999999986,1,0,0,1,1,0,0.05660377358490565,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
0,5,1,10,1,0,0.6842105263157894,0,0,2,3,3,0.5,1,0,0,0,1,0,0.037735849056603765,0,0,6,6,6,0.7417218543046358,0,0,6,6,6,0.7358974358974358,0,13.9,-0.3,0.79,2
0,0,5,4,1,0,0.28421052631578947,0,21,26,9,9,0.3136842105263158,1,0,0,0,1,0,0.037735849056603765,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0
0,7,2,14,1,0,0.28421052631578947,0,22,26,5,3,0.2589473684210526,1,0,0,1,0,0,0.05660377358490565,0,0,6,8,6,0.7114474929044465,0,0,6,10,5,0.6676923076923077,0,9.4,-0.8,-3.12,2
1,11,1,2,0,0,0.05263157894736836,0,21,27,9,9,0.4894736842105263,0,0,0,1,0,0,0.5283018867924527,0,0,6,9,5,0.6534216335540839,0,0,6,6,6,0.7,0,13.9,-0.3,0.79,2
1,11,1,16,0,11,0.4010526315789473,0,21,26,9,7,0.20842105263157884,0,0,1,1,1,0,0.6226415094339623,0,0,5,10,5,0.6281929990539262,0,0,5,17,5,0.6192307692307691,5,16.2,0.3,-0.92,2
0,0,1,11,1,0,0.49473684210526314,0,12,27,7,10,0.351578947368421,1,0,0,1,0,1,0.018867924528301883,0,0,7,9,7,0.704635761589404,0,0,8,8,8,0.7724230769230769,0,15.5,2.8,-4.06,2
0,8,4,10,1,0,0.2526315789473683,0,21,26,9,9,0.19052631578947365,1,0,0,0,1,0,0.09433962264150941,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,0
0,0,3,9,1,0,0.4421052631578948,14,0,0,9,9,0.3610526315789475,0,0,0,1,0,1,0.07547169811320753,1,0,6,8,6,0.7350993377483444,0,0,6,7,6,0.7615384615384615,0,16.2,0.3,-0.92,2
0,0,1,9,1,0,0.4526315789473685,0,0,13,4,7,0.2947368421052632,1,0,1,0,0,0,0.018867924528301883,0,0,6,9,5,0.6039735099337749,0,0,6,14,2,0.7269230769230769,0,8.9,1.4,3.51,0
0,0,1,13,1,0,0.463157894736842,0,22,13,5,7,0.37473684210526303,1,0,0,1,0,0,0.018867924528301883,0,0,6,6,6,0.6534216335540839,0,0,6,7,5,0.7646153846153845,0,13.9,-0.3,0.79,2
0,0,1,11,1,0,0.43157894736842106,0,12,27,9,9,0.25578947368421057,1,0,0,1,0,1,0.018867924528301883,0,0,8,8,7,0.7000946073793756,0,0,8,8,7,0.7115384615384615,0,12.7,3.7,-1.7,2
0,0,2,15,1,0,0.3999999999999999,0,12,26,4,9,0.3705263157894736,1,0,0,1,0,0,0.037735849056603765,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0
0,16,1,10,1,15,0.1578947368421053,0,0,0,4,7,0.1768421052631579,1,0,0,1,0,1,0.07547169811320753,0,0,6,7,6,0.5600756859035004,0,0,6,8,5,0.5923076923076923,0,8.9,1.4,3.51,2
0,0,1,5,1,0,0.5684210526315789,0,22,26,5,5,0.443157894736842,1,0,0,1,0,1,0.018867924528301883,0,0,5,7,4,0.7019867549668874,0,0,5,5,5,0.6461538461538461,0,10.8,1.4,1.74,2
0,0,1,14,1,0,0.33684210526315783,0,12,26,9,3,0.2705263157894737,1,0,0,1,0,0,0.05660377358490565,0,0,6,6,5,0.6993377483443708,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,0
0,8,1,9,1,0,0.4421052631578948,0,12,27,5,8,0.4463157894736842,1,0,0,1,0,0,0.018867924528301883,0,0,6,10,1,0.6357615894039735,0,0,6,14,2,0.5923076923076923,0,10.8,1.4,1.74,1
0,7,2,11,1,0,0.42105263157894735,0,12,0,5,4,0.33999999999999986,1,0,0,1,0,0,0.018867924528301883,0,0,7,8,7,0.7049668874172186,0,0,8,8,8,0.7831923076923076,0,15.5,2.8,-4.06,2
0,0,1,7,1,0,0.4421052631578948,0,2,13,3,5,0.4347368421052633,1,0,0,1,0,0,0.05660377358490565,0,0,5,8,4,0.6622516556291391,1,0,5,8,4,0.6596153846153846,2,10.8,1.4,1.74,2
0,0,1,15,1,0,0.4736842105263157,0,12,13,7,7,0.31157894736842096,1,0,0,1,0,0,0.018867924528301883,0,0,7,7,6,0.6181015452538631,0,0,7,8,6,0.7269230769230769,0,16.2,0.3,-0.92,1
0,0,3,1,1,0,0.28421052631578947,0,0,0,9,8,0.26631578947368406,0,0,0,1,0,1,0.07547169811320753,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,2
0,8,4,12,1,0,0.33684210526315783,0,0,27,4,7,0.28210526315789464,1,0,0,1,0,0,0.05660377358490565,0,0,7,14,7,0.6059602649006622,0,0,8,9,8,0.6151923076923077,0,12.7,3.7,-1.7,1
0,0,4,11,1,0,0.49473684210526314,0,12,13,1,1,0.32105263157894726,1,0,0,1,0,0,0.018867924528301883,0,0,8,12,7,0.6811731315042574,0,0,8,12,7,0.6923076923076923,0,12.7,3.7,-1.7,2
0,0,4,13,1,0,0.3157894736842104,0,0,27,4,7,0.20947368421052626,1,0,0,1,0,1,0.037735849056603765,0,0,6,8,6,0.7086092715231788,0,0,6,7,6,0.6615384615384615,0,11.1,0.6,2.02,2
0,0,1,11,1,0,0.3263157894736841,0,12,13,3,7,0.3042105263157895,0,0,0,1,0,0,0.037735849056603765,0,0,7,8,6,0.704459161147903,0,0,8,9,7,0.7599999999999999,0,11.1,0.6,2.02,2
0,0,1,9,1,0,0.5894736842105264,0,12,27,9,9,0.6526315789473685,1,0,1,1,0,1,0.018867924528301883,0,0,6,8,5,0.614569536423841,0,0,6,12,4,0.5923076923076923,0,7.6,2.6,0.32,1
0,7,2,9,1,0,0.21052631578947367,0,12,27,7,8,0.22526315789473683,1,0,0,1,0,0,0.07547169811320753,0,0,6,9,6,0.6026490066225165,0,0,6,9,6,0.7153846153846154,0,16.2,0.3,-0.92,2
0,0,1,5,1,0,0.4526315789473685,0,12,13,3,3,0.3789473684210527,1,0,0,1,0,0,0.018867924528301883,0,0,5,9,5,0.6710816777041942,2,0,5,7,4,0.7,0,9.4,-0.8,-3.12,1
0,0,1,8,1,0,0.42105263157894735,0,12,0,9,9,0.28526315789473666,1,0,0,1,0,0,0.05660377358490565,0,0,5,6,5,0.6357615894039735,0,0,5,6,5,0.6641025641025641,0,16.2,0.3,-0.92,2
0,7,2,11,1,0,0.33684210526315783,0,2,2,1,10,0.2505263157894737,1,0,0,1,1,0,0.037735849056603765,0,0,7,9,6,0.6852097130242825,0,0,7,7,6,0.7385897435897436,0,16.2,0.3,-0.92,1
0,14,1,3,1,13,0.5789473684210527,0,3,4,4,2,0.5789473684210527,0,0,0,1,1,0,0.07547169811320753,0,0,6,15,5,0.6281929990539262,0,0,6,17,5,0.5692307692307692,0,16.2,0.3,-0.92,1
0,15,1,4,1,0,0.3157894736842104,0,26,2,15,21,0.368421052631579,1,0,0,1,1,0,0.05660377358490565,0,2,6,7,6,0.6799116997792495,0,0,6,9,4,0.7215384615384615,0,8.9,1.4,3.51,2
0,0,1,8,1,0,0.5052631578947369,0,0,0,4,6,0.4610526315789474,0,0,0,0,1,0,0.018867924528301883,0,0,5,9,3,0.6004415011037528,0,0,5,8,2,0.7269230769230769,0,8.9,1.4,3.51,1
0,8,1,2,0,0,0.4526315789473685,0,12,0,9,5,0.4157894736842105,1,0,0,1,0,0,0.037735849056603765,0,0,6,6,6,0.6710816777041942,0,0,6,8,6,0.7740384615384615,0,12.4,0.5,1.79,2
0,0,1,16,0,0,0.368421052631579,0,1,26,3,9,0.38315789473684214,0,0,0,1,1,0,0.32075471698113206,0,0,5,6,5,0.656953642384106,0,0,5,9,5,0.7230769230769231,0,13.9,-0.3,0.79,2
0,11,1,0,1,0,0.368421052631579,0,22,26,9,6,0.07894736842105265,0,0,1,0,1,0,0.3773584905660377,0,0,7,7,0,0.0,0,0,7,7,1,0.5384615384615384,0,8.9,1.4,3.51,0
0,11,1,6,1,7,0.4010526315789473,0,18,26,0,0,0.35578947368421066,1,0,0,1,1,0,0.490566037735849,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,0
0,13,1,8,1,0,0.4736842105263157,0,21,26,6,6,0.29368421052631577,0,0,0,1,0,0,0.7169811320754718,0,0,5,10,1,0.5298013245033113,0,0,5,8,2,0.6461538461538461,2,16.2,0.3,-0.92,0
3,11,1,16,0,0,0.26315789473684204,0,12,13,9,3,0.19894736842105276,1,0,0,1,0,0,0.4150943396226415,0,0,5,8,5,0.5827814569536424,0,0,5,5,5,0.6246153846153846,0,7.6,2.6,0.32,2
